"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Armenia","ARM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2773.94314494728","2556.0023870162","1549.08361464344","1480.5138343708","1632.34437041295","1818.28638268285","1990.58292290586","2115.61704374486","2313.61779300261","2439.91275322368","2658.34432173041","2995.90884550107","3463.98606346213","4043.65506161727","4614.86980387949","5455.43499457867","6411.81964016089","7551.64363563305","8300.49198824733","7233.03992810233","7506.32190855914","8025.4584849173","9364.37529918435","9835.80246091985","10036.8898405952","9969.66485397823","10704.2297624759","12115.1392902637","13020.3963185992","14231.180188533","13284.160830729",
"American Samoa","ASM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11594.1706912617","12086.7205829838","12292.7488414116","12982.9545271162","13845.7876735351","13230.2305291159","14054.4550612909","14757.1243071288","15306.5048821576","15789.4351996682","16843.1216095067","16173.3262222136","16367.734900892","17458.8837289464","18718.3707760024","20269.690993938","23180.4007139502","25613.5465027525","25690.689492805","22435.3937041743","20611.4457775542","20347.8684831466","19598.0238599601","18797.6263678382","19039.0045029811","18911.3068944389","19920.2657838504","19840.2840357026","21535.330885686","22460.0192532032","18942.3880651775",
"Australia","AUS","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17331.0252918878","17784.511959572","18175.2494346976","19117.5994551005","20050.2763865984","20876.6566582548","21958.2550454195","22924.7748130041","24171.767188336","25264.3643562136","26321.4464495089","27373.459715943","28718.241079556","29734.7208766173","31308.2105242907","32575.0692539649","34288.8636875396","36544.8859750628","37459.307649507","40300.7555477896","39301.3411198761","41965.3584189919","42826.789579996","45902.047948361","46880.2206571585","46288.3344786414","47339.969213264","48482.6474614392","50252.8404567524","52203.1322876387","52518.3244830382",
"Austria","AUT","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19425.4046379638","20567.11866326","21241.1593406816","21679.4507995069","22587.1859201474","23639.8174634615","24500.2271820533","25417.8491652419","26673.9447069683","27606.4830303088","29388.7774746532","29715.6408471561","31178.6933297272","32111.1244333186","33745.847650488","35013.7140443423","37611.8042485063","39382.7970602244","41316.225176699","40948.2221602982","42041.486681307","44452.7327457999","46457.3457770311","47922.0491207455","48799.7154676985","49865.9039424185","52684.0171130768","54169.9639937065","57050.3513549091","58649.6683148852","55097.4612258328",
"Azerbaijan","AZE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5360.07052935679","5417.78633006562","4224.4387863102","3275.4231839211","2650.26117573608","2359.21640189126","2409.19330611902","2567.98740358491","2829.59509387574","3055.92530709067","3442.63193214946","3836.59959080957","4233.44006339695","4716.37761192651","5245.42525094374","6850.81301898172","9387.10934891586","11957.3911717855","13200.9407059818","14248.8924606106","14926.6376402283","14804.5744507911","15957.718850285","17188.9455056612","17443.8782563093","14938.4011276715","14371.0227410092","14121.4069355591","14550.8204045494","15049.9385648137","14451.9836966507",
"Burundi","BDI","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","615.071875026484","652.533198027271","659.839461492556","621.036623685184","599.569513296118","555.367436556303","514.020360440578","509.357390733055","534.023852953706","529.283026766492","527.080874650023","537.359461223141","554.944847680609","541.763919368898","565.042746654446","569.274971643531","598.507597533049","615.229559660846","636.332024089182","644.105174174961","663.05448953244","681.971621284674","690.687841656639","740.983221098929","777.041241495558","841.646025860003","796.944083373075","773.572858670972","779.808175667897","783.451983198669","771.209618761591",
"Belgium","BEL","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18642.8939218853","19553.8580645775","20223.3796787781","20423.4624262887","21466.445442637","22392.2723214818","22688.7855304243","23724.0102296344","24367.9239656861","25440.8411888638","27796.6460731837","28800.5170490185","30282.2886450283","30901.0031866127","32036.5012287535","33177.8909458158","35212.0235620337","36746.5513746828","37883.3319417819","37777.3278274072","39870.4948741712","40942.372710454","42290.7620520019","43671.11959259","44929.685593416","46200.904454307","48597.3999826201","50442.2705419623","52662.5329289973","54709.4669035074","51968.1920227771",
"Benin","BEN","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1259.57421878914","1312.12656366981","1334.4771974495","1396.0841083787","1405.71033952118","1472.63524885795","1516.00072408729","1581.94183297317","1614.62755479689","1675.24479478343","1759.72035685933","1837.80533245199","1894.9988812774","1936.88097220494","2015.63776609052","2052.52885319768","2135.26376995317","2258.49268078074","2347.92432443978","2353.63289269548","2364.11963636531","2416.32736232359","2498.4957725647","2669.68821953416","2833.41275279485","2886.82913718973","3004.80780499086","3044.51715620319","3236.670417183","3426.32965445391","3505.63516358263",
"Burkina Faso","BFA","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","589.95237733787","647.649794005856","646.309483502126","666.224526133057","670.850938820254","704.457730604658","774.655308058973","814.789720723018","859.734955268716","910.580353379181","921.939176749921","976.160879295841","1005.42999058038","1072.46713586937","1117.46483140297","1215.57325780426","1291.48579644952","1339.73764860948","1401.95772721559","1411.12752844523","1502.10404736947","1586.57116112236","1619.39942588838","1683.10583320456","1692.30324218467","1713.52013591224","1895.29506603366","2044.38698676758","2171.23899712267","2270.44401869641","2279.15617320327",
